id,name,acronym,description,studyIds,studies,variables,collectedDatasets,collectedVariables,harmonizedDatasets,dataschemaVariables,cohortCriteria,funding,website,typesOfCohorts,yearCreated,countries,setting,nbParticipants.total,nbParticipants.harmonized,socioEnvContext,region,dataEntryDate,age.min,age.max,methodology.analyses,methodology.moreCohortsToBeHarmonized,methodology.dataProcessingMethods,methodology.supplementaryInformation,methodology.access.metadata,methodology.access.individualData,methodology.software,methodology.infrastructure,methodology.harmonizationStrategy,methodology.nbHarmonizedVariables,methodology.harmonizationType,methodology.nbCohorts.total,healthTopic,healthTopicOther,methodology.nbCohorts.harmonized,informationStatus,socioEnvContextOther,methodology.softwareOther,methodology.analysesOther,methodology.dataProcessingMethodsOthers
cosmic,COSMIC: Cohort Studies of Memory in an International Consortium,COSMIC,"Harmonise data from international cohort studies of cognitive ageing, in order to better understand the determinants of cognitive ageing and neurocognitive disorders.",,40,0,0,0,0,0,"Studies participating in COSMIC typically meet the following membership criteria:
1. Are epidemiological, and therefore population-based.
2. Examine individuals aged 60 years and over.
3. Are longitudinal, either with follow-up assessments or intending to have these.
4. Include an assessment of cognitive function, cognitive impairment or dementia as an important, if not central, objective.

Studies from Africa, South America, Eastern Europe and under-represented areas in Asia are particularly encouraged to join (and whom not all membership criteria necessarily need to be met).","US$2.57 million from the National Institutes of Health, USA from 2017 to 2022.",https://cheba.unsw.edu.au/consortia/cosmic,population_cohort,2013,AUS|BRA|CAN|CAF|CHN|CUB|ECU|GBR|FRO|FRA|DEU|GRC|IDN|HKG|IND|IRN|ITA|JPN|MYS|NGA|PHL|PRI|COD|SGP|KOR|ESP|SWE|TWN|TZA|NLD|USA,international,121000,49000,NA,Worldwide (31 countries across 6 continents),2020-11-04,60,105,meta|pooled,TRUE,standardisation,"Sachdev, Perminder S., et al. ""COSMIC (Cohort Studies of Memory in an International Consortium): an international consortium to identify risk and protective factors and biomarkers of cognitive ageing and dementia in diverse ethnic and sociocultural groups."" BMC neurology 13.1 (2013): 165. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3827845/pdf/1471-2377-13-165.pdf

Lipnicki, Darren M et al. “Determinants of cognitive performance and decline in 20 diverse ethno-regional groups: A COSMIC collaboration cohort study.” PLoS medicine vol. 16,7 e1002853. 23 Jul. 2019, doi:10.1371/journal.pmed.1002853",under_request,under_request,stata|spss,central,ex_post,NA,NA,41,ageing|mental_health|neurological_diseases,NA,20,NA,NA,NA,NA,NA
eclipse,Epidemiological  Clinicopathological Studies in Europe,EClipSE,"The aim of EClipSE is to address the lack of statistical power within individual studies for specific analyses assessing relationships between data collected during life (e.g., health, cognitive, psychological, and genetic) and neuropathology at death.",,3,0,0,0,0,0,European population-based longitudinal cohorts of older adults with a brain-donation program at death,"This project has received funding from the BUPA Foundation Grant RHAD/094, October 2007-April 2009; EU Marie Curie International Incoming Fellowship (Dr Keage), 2009-2011 and National Health and Medical Research Council of Australia Clinical Overseas Postdoctoral Training Fellowship (Dr Keage), 2011-2013.",http://www.eclipsestudy.eu/,population_cohort,2007,GBR|FIN,international,987,987,na,NA,2020-04-29,65,150,pooled,FALSE,na,"The number of participants can increase because of future donations. <br>

More information:  EClipSE Collaborative Members. Cohort profile: Epidemiological Clinicopathological Studies in Europe (EClipSE). Journal of Alzheimer’s Disease 18 (2009) 659–663",na,na,stata,central_and_multiple,ex_post,1000,NA,3,ageing|mental_health|neurological_diseases|general_epidemiology|genetics,NA,3,NA,NA,NA,NA,NA
ephor,Exposome Project for Health and Occupational Research,EPHOR,"EPHOR will develop methods and tools to characterise the working-life exposome. By applying these, better and more complete knowledge on the working-life exposome will be obtained. Through uniquely combining large-scale pooling of existing data (>40 cohorts; ~ 21 million people) systematically looking at many types of exposure and diseases with the collection of new data in case studies in which the effects of working-life exposure on respiratory health in the general population and night shift workers will be investigated.",,0,0,0,0,0,0,Cohort studies with occupational history information.,This project has received funding from the RIA Research and Innovation Action  European Commission,https://www.ephor-project.eu,population_cohort,2020,NLD|ESP|GBR|DNK|SWE|BEL|NOR|FRA|FIN|GRC|DEU|CYP,international,21000000,0,work_related_stress|work_life_balance,NA,2020-05-25,NA,NA,na,TRUE,na,The project has recently begun.  Please also see OMEGA-NET which is a related project.  Meta-data will be available on occupationalcohorts.net.,na,na,na,na,ex_post,0,NA,40,NA,NA,0,NA,NA,NA,NA,NA
eposa,European Project on Osteoarthritis,EPOSA,EPOSA is a collaborative study involving six cohort studies on ageing from six countries from North to South Europe. This initiative studies the personal and societal burden and its determinants of osteoarthritis in the aging European population using data from six population-based cohort studies across Europe.,,5,0,0,0,0,0,"Criteria for selection were a good representation of countries across Europe, different physical and social environments and health care systems. In addition, initially (for the post-harmonisation) a requirement was the existence of a running cohort study on older people",This project has received funding from an anonymous funder.,https://www.eposa.org/,population_cohort,2010,DEU|ITA|NLD|ESP|GBR|SWE,international,2941,1949,na,NA,2020-11-11,65,85,pooled,FALSE,na,"Total number of participants with harmonized data:
Baseline: 2942 (GER: 407, IT: 468, NL:574, SP: 539, SW: 510, UK: 444) 
Follow-up: 2455 (GER:336, IT: 319, NL: 483, SP: 457, SW:450, UK: 410)

Total number of harmonized variables:
Baseline: 500
Follow-up: 360

The coordinating centre developed the harmonized dataset in cooperation with the partners.
Data dictionary baseline: https://www.eposa.org/wp-content/uploads/2017/04/EPOSACodebook-Baseline.pdf
and follow-up: https://www.eposa.org/wp-content/uploads/2017/04/EPOSACodebook-Follow-up.pdf 
Data request form: https://www.eposa.org/data-requests/ 

More information: 
Design paper: http://www.biomedcentral.com/1471-2474/14/138
Outcome paper social isolation: https://onlinelibrary.wiley.com/doi/epdf/10.1111/jgs.16159 
Outcome paper falls: https://www.sciencedirect.com/science/article/pii/S0049017220300299?via%3Dihub",under_request,under_request,spss,central_and_multiple,ex_ante,500,NA,6,ageing|environmental_health|public_health|musculoskeletal_diseases,NA,6,NA,NA,NA,NA,NA
eucan-connect,EUCAN CONNECT,EUCAN-Connect,"The specific objectives of EUCAN-Connect are:

* to deliver an open, federated data platform to deposit, curate and analyse cohort (meta)data that meets FAIR principles
* to create a sustainable framework for long-term collaboration that enables better data-reuse and increased benefit to scientific communities worldwide",,87,0,0,0,0,0,European cohorts of babies born very preterm or with very low birth weight (VPT/ VLBW cohorts),"This project has received funding from the  European Commission for five years (2019-2023), within the call topic SC1-BHC-05-2018 under Grant Agreement No 824989. The Canadian project partners have been funded by the Canadian Institutes of Health Research (CIHR) and the Fonds de recherche du Québec – Santé.",https://www.eucanconnect.eu/project-description/,population_cohort,2019,CAN|NOR|FRA|DNK|EST|DEU|GRC|ITA|LTU|POL|RUS|IRL|PRT|BEL|ESP|SWE|NLD|GBR|FIN|AUS,international,NA,NA,na,NA,2020-04-29,NA,NA,pooled|federated,TRUE,na,The analyses are ongoing and harmonization has been planned.,na,na,obiba|datashield|molgenis,multiple,ex_post,0,NA,20,NA,NA,0,NA,NA,NA,NA,NA
eucanshare,euCanSHare,euCanSHare,"euCanSHare is a joint EU-Canada project to establish a cross-border data sharing and multi-cohort cardiovascular research platform. 
Specifically, the project will integrate data infrastructures, IT solutions and data sources from EU, Canada and other countries into a web-based data access system with functionalities for increased efficiency in cardiovascular data-driven research. euCanSHare integrates more than 35 Canadian and European cohorts making up over 1 million records and actively seeks to expand to other regions. 

euCanSHare key objectives are: data sharing, knowledge discovery, legal compliance, and community building",,36,0,0,0,0,0,"The project brings together 35 cardiovascular cohorts from EU, Canada* and beyond, including sociodemographic data, biosamples, omics data (DNA/RNA/proteins), cardiac imaging, lifestyle, environmental data, physical measurements and clinical outcomes.","This project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 825903.
All Canadian project partners have been funded by the Canadian Institutes of Health Research and the Fonds de recherche du Québec – Santé",http://www.eucanshare.eu,population_cohort|patient_cohort,2020,DEU|GBR|FIN|EST|DNK|ITA|ESP|LTU|AUS|SWE|RUS|POL|FRA|NOR|CAN,international,1000000,NA,na,Europe; Canada; Australia,2020-09-16,NA,NA,meta|pooled,TRUE,algorithmic|standardisation|latent_variable_model|others,,yes,under_request,obiba|datashield|molgenis,central_and_multiple,ex_post,NA,NA,32,cardiovascular_diseases,NA,NA,NA,NA,NA,NA,NA
g2aging,The Gateway to Global Aging Data,Gateway,"The Gateway to Global Aging Data (g2aging.org) is a data and information platform developed to facilitate longitudinal and cross-country analyses on aging, especially those using the family of Health and Retirement Studies (HRS) around the world. To further this effort, the Gateway provides searchable metadata, extensive cross-survey documentation, downloadable harmonized microdata with variables standardized across surveys, and graphs and tables that enable users to instantly compare variables of interest over time, across countries, and against macro-level contextual information at no cost.
",,16,0,0,0,0,0,"Cohort studies about aging and health, most of them harmonized ex-ante with the family of international Health and Retirement studies.","This project has received funding from the National Institute on Aging, National Institutes of Health (R01 AG030153, RC2 AG036619, R03 AG043052, R24 AG048024)",https://g2aging.org/#,population_cohort,2013,USA|MEX|ISR|CRI|KOR|JPN|CHN|IND|GBR|AUT|BEL|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ITA|LVA|LTU|LUX|MLT|NLD|POL|PRT|ROU|SVK|SVN|ESP|SWE|CHE|IRL|IDN|GHA|RUS|ZAF|BRA|THA|MYS,international,351000,351000,air_pollution|other,"America, Asia, Europe",2020-05-25,45,NA,pooled,TRUE,standardisation|multiple_imputation|others,"The strategy of harmonisation is ex-post in most studies, even though newer studies like LASI is ex-ante.
Countries which have metadata only: Indonesia; Ghana; Russian Federation; South Africa; Scotland; Northern Ireland; Brazil; Thailand; Malaysia.",yes,under_request,stata,central_and_multiple,ex_post,37000,NA,18,ageing,NA,10,NA,"pension policies, macroeconomic environment",NA,NA,NA
genomeutwin,GenomEUtwin,GenomEUtwin,"The aim of GenomEUtwin is to develop novel strategies to maximally utilize the unique features of twin cohorts, including the availability of longitudinal data and sample information about lifestyle and environmental factors, in the characterization of complex traits.",,7,0,0,0,0,0,"Twin cohorts with genomic, lifestyle and environmental information.",This project has received funding from the Framework 5th Programme of the European Community.,https://cordis.europa.eu/project/id/QLG2-CT-2002-01254,population_cohort,2002,DNK|FIN|ITA|NLD|NOR|GBR|AUS|SWE,international,1190000,NA,na,NA,2020-04-29,20,85,pooled|federated,FALSE,na,"More information: Peltonen l. GenomEUtwin: A Strategy to Identify Genetic Influences on Health and Disease. Twin Research, 2003. Volume 6 Number 5 pp. 354± 360

https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F8439F1D0E19810C93000E07EA51B119/S1369052300003986a.pdf/data_modeling_and_data_communication_in_genomeutwin.pdf

Peltonen, L., Perola, M., Boomsma, D. I., Christensen, K., Evans, A., Harris, J., ... Syvanen, A. C. (2003). GENOMEUTWIN - an integrated project of eight large twin cohorts for genetic studies on complex traits. American Journal of Human Genetics, 73, 1330. https://doi.org/10.1086/380311",na,na,other,multiple,ex_post,NA,NA,9,environmental_health|social_environment|genetics,NA,9,NA,NA,NA,NA,NA
halcyon,Healthy Ageing  across the Life Course,HALCyon,This interdisciplinary collaborative programme aims to identify how healthy ageing is affected by factors operating across life using data from nine UK cohort studies.,,9,0,0,0,0,0,The project focus on studies based in the UK with life course data and specific ageing outcomes measured in midlife or old age and/or repeat measures of capability in later life,"This project received funding from the New Dynamics of Ageing, coordinated by the UKRI Economic and Social Research Council - ESRC (2008-2014) (RES-353-25-0001)",https://www.nshd.mrc.ac.uk/archive/halcyon/,population_cohort,2008,GBR,national,40000,NA,na,NA,2020-11-04,50,90,meta|pooled,FALSE,na,"Examples of outputs from this collaborative project:  

Alfred T, Ben-Shlomo Y, Cooper R, Hardy R, Cooper C, Deary IJ, Elliott J, Gunnell D, Harris SE, Kivimaki M, Kumari M, Martin RM, Power C, Sayer AA, Starr JM, Kuh D, Day IN; HALCyon Study Team.   Associations between APOE and low-density lipoprotein cholesterol genotypes and cognitive and physical capability: the HALCyon programme. Age (Dordr). 2014;36(4):9673. doi: 10.1007/s11357-014-9673-9. Epub 2014 Jul 30. 

Birnie K, Cooper R, Martin RM, Kuh D, Aihie Sayer A, Alvarado BE, Bayer A, Christensen K, Cho S, Cooper C, Corley J, Craig L, Deary IJ, Demakakos P, Ebrahim S, Gallacher J, Gow AJ, Gunnell D, Haas S, Hemmingsson T, Inskip H, Jang S, Noronha K, Osler M, Palloni A, Rasmussen F, Santos-Eggimann B, Spagnoli J, Starr J, Steptoe A, Syddall H, Tynelius P, Weir D, Whalley LJ, Zunzunegui MV, Ben-Shlomo Y, Hardy R on behalf of the HALCyon study team. Childhood socioeconomic position and objectively measured physical capability levels in adulthood: a systematic review and meta-analysis. PLoS ONE 2011; 6(1):e15564. 

Cooper R et al. Age and Gender Differences in Physical Capability Levels from Mid-Life Onwards: The Harmonisation and Meta-Analysis of Data from Eight UK Cohort Studies. PlosOne, 2011, Volume 6, Issue 11, e27899 

Cooper R, Stafford M, Hardy R, Aihie Sayer A, Ben-Shlomo Y, Cooper C, Craig L, Deary IJ, Gallacher J, McNeill G, Starr JM, Kuh D and Gale CR on behalf of the HALCyon study team Physical capability and subsequent positive mental wellbeing in older people: findings from five HALCyon cohorts. AGE 2014;36:445-456  

Gardner MP, Martin-Ruiz C, Cooper R, Hardy R, Sayer AA, Cooper C, Deary IJ, Gallacher J, Harris SE, Shiels PG, Starr JM, Kuh D, von Zglinicki T, Ben-Shlomo Y and the HALCyon study team.  Telomere length and physical performance at older ages:an individual participant meta-analysis.  PLoS One 2013 8(7): e69526 

Hardy R, Cooper R, Aihie Sayer A, Ben-Shlomo Y, Cooper C, Deary IJ, Demakakos P, Gallacher J, Martin RM, McNeill G, Starr JM, Steptoe A, Syddall H, Kuh D on behalf of the HALCyon study team. Body mass index, muscle strength and physical performance in older adults from eight cohort studies: the HALCyon programme.  PLoS One 2013;8(2):e56483",yes,na,stata,central_and_multiple,ex_post,NA,NA,9,ageing,NA,9,NA,NA,NA,NA,NA
helix,The Human Early-Life Exposome,HELIX,"The HELIX project is funded to exploit novel tools and methods for characterisation of early-life exposure to a wide range of environmental hazards. These require integration and linkage with data on major child health outcomes, to develop an “Early-Life Exposome” approach.

Six prospective birth cohort studies (INMA-Spain, RHEA-Greece, MoBa-Norway, EDEN-France, BiB-UK, KANC-Lithuania) are contributing to HELIX as the only realistic and feasible way to obtain the comprehensive, longitudinal, human data needed to build this early-life exposome. These cohorts have already collected large amounts of data as part of national and EU-funded projects. Results will be integrated with data from European cohorts (>300,000 subjects) and registers, to estimate health impacts at the large European scale. This integration of the chemical, physical and molecular environment during critical early-life periods will lead to major improvements in health risk and impact assessments and thus to improved prevention strategies for vulnerable populations.
",,1,0,0,0,0,0,"The selected cohorts were  included in the
HELIX project because: (a) they could provide substantial
existing longitudinal data from early pregnancy
through childhood, (b) they could follow-up children
at similar ages, (c) they could integrate questionnaires, biosampling and clinical examinations using common
HELIX protocols and (d) they offered heterogeneity in
terms of exposure and population characteristics.",This project has received funding from the European Union’s 7th Framework Programme,www.projecthelix.eu,population_cohort,2013,FRA|GRC|LTU|NOR|ESP|GBR,international,32000,32000,air_pollution|environmental_hazards|short_half_life_chemicals|urbanization|other,Europe,2020-05-25,0,12,na,FALSE,na,"Harmonisation has been done for specific analysis. (Diagnostic environment-wide association study (EWAS) analysis, structural equation modelling (SEM), and Bayesian profile regression). More information: https://doi.org/10.1289/ehp.1307204

Cohort profile: Maitre L, de Bont J, Casas M, et al. Human Early Life Exposome (HELIX) study: a European population-based exposome cohort. BMJ Open. 2018;8(9):e021311. Published 2018 Sep 10. doi:10.1136/bmjopen-2017-021311

Database access: https://www.projecthelix.eu/index.php/es/data-inventory",under_request,under_request,na,central_and_multiple,ex_post,NA,NA,6,environmental_health|birth_infancy_childhood_health,NA,6,NA,Endocrine disruptors; lifestyle exposures; chemical exposures; socioeconomic position,NA,NA,NA
